Dataset x,Dataset y
4.291994154106E-3,-1.130961850066E-3
2.698061581996E-2,1.793663590195E-2
6.782013481851E-2,2.788129052450E-2
8.143330781802E-2,3.700022809655E-2
1.631123458151E-1,4.528143194590E-2
2.402536594790E-1,5.605065917397E-2
3.173949731429E-1,6.433243524580E-2
3.536967678083E-1,8.422746671576E-2
3.673099408078E-1,9.500470505864E-2
5.397434654683E-1,1.140534194686E-1
5.896584331332E-1,1.256552304170E-1
6.894883684630E-1,1.389090476889E-1
7.031015414625E-1,1.471988348755E-1
7.711674064601E-1,1.587983569339E-1
7.983937524591E-1,1.704030289948E-1
1.193175769445E0,1.811322006488E-1
1.220402115444E0,1.960534742512E-1
1.351996121106E0,2.101324363511E-1
1.506278748434E0,2.233793869531E-1
1.610646408097E0,2.366326320025E-1
1.724089516426E0,2.498847326069E-1
2.028117046749E0,2.788666571897E-1
2.209626020075E0,2.945976256130E-1
2.672473912878E0,3.102931162408E-1
2.699700258877E0,3.268726906141E-1
2.853982886205E0,3.426070923724E-1
3.076331378530E0,3.624786627204E-1
3.203387659859E0,3.831914001260E-1
3.575480985939E0,4.071898390678E-1
4.428573160575E0,4.294693216463E-1
4.542016268904E0,4.518420764903E-1
5.658296454864E0,4.749175205500E-1
5.975937158186E0,4.972645253821E-1
6.053078471850E0,5.204710083913E-1
